	title	trackCount	duration	privacy	id
92	rock 2000s radio	152	5+ hours	PRIVATE	PLWptjpDqazOzGLw7VR_G-vcUeLRMp9xzj
93	rock 90s NEED TO POPULATE	127	6+ hours	PRIVATE	PLWptjpDqazOxWGGsQj7i6O5MtgNMbDRwt
94	rock classic 60s	512	5+ hours	PRIVATE	PLWptjpDqazOwH8TkQ6xw7PhqKwYieDO-K
95	rock classic 60s radio	300	4+ hours	PRIVATE	PLWptjpDqazOwBlikbPllxfDDwG0ubGVDF
96	rock classic 70s	921	6+ hours	PRIVATE	PLWptjpDqazOzRF2bGlOAwCdnNK9ybN6Pd
97	rock classic radio	525	6+ hours	PRIVATE	PLWptjpDqazOw3YaJaHHW3ZzS7UvlK1iDA
98	rock grunge NEED TO POPULATE	163	6+ hours	PRIVATE	PLWptjpDqazOyg7b8V7-W_YNIpMDWfZjcG
99	rock like built to spill radio	231	5+ hours	PRIVATE	PLWptjpDqazOw0Y2oYdhqzRmF7DVTBCakK
100	rock modern chill	627	5+ hours	PRIVATE	PLWptjpDqazOx_oQp1XIOyfRq0FRRppsOV
101	rock Pink Floyd epic	10	2 hours, 3 minutes	PRIVATE	PLWptjpDqazOzGwXPh4lua_Ctdsr9CSRqd
102	rock pop pre 60s NEED TO POPULATE	10	23 minutes	PRIVATE	PLWptjpDqazOzdlIBWnRbwTJiqRK93qkfg
103	rock surf	38	1 hour, 34 minutes	PRIVATE	PLWptjpDqazOxgjrhnBfkatNMaudE8-jPH
104	rock The Beatles	170	4+ hours	PRIVATE	PLWptjpDqazOw8PSL-Tt3A_siKQKDTjcQ2
105	soul funk	406	5+ hours	PRIVATE	PLWptjpDqazOxakigyFmt2FQj15bh4idXg
106	soul radio	390	4+ hours	PRIVATE	PLWptjpDqazOzYI9AY-2Bb3w0TQoRQuIgA
107	soul rock covers	25	1 hour, 46 minutes	PRIVATE	PLWptjpDqazOzPFIhKPyQS5QbQe-2V0EuJ
108	The Greatest (Rock) Generation: '67-'69	179	6+ hours	PUBLIC	RDCLAK5uy_lAqRxoxR9CdRIRPe6Mj0q9fOHb84O7xwA
109	The Grunge Era	120	7+ hours	PUBLIC	RDCLAK5uy_kQDX7ciH8Pm8h48FWNLv5suF7U6abRhU4
110	We're Alone Now	47	3 hours, 26 minutes	PUBLIC	RDCLAK5uy_lmv890dmqD0IS6dLPvHnwqfBOhfywKCkI
111	z_2017_thumbs_up	528	6+ hours	PRIVATE	PLWptjpDqazOzq39_MwaIsAr3ezFMJIrO_
112	z_2017_unrated_albums Part 1	905	6+ hours	PRIVATE	PLWptjpDqazOw75HaRug2-Rj-GjYfkSoJD
113	z_2017_unrated_albums Part 2	296	6+ hours	PRIVATE	PLWptjpDqazOwoRrcJbvkxUS_gV0y3w2S8
114	z_2018_thumbs_up	896	6+ hours	PRIVATE	PLWptjpDqazOyfctX2Yl0FFyHicZYyY-sS
115	z_2018_thumbs_up2	372	7+ hours	PRIVATE	PLWptjpDqazOwSo7T4auJer1zliDv9JZG4
116	z_2018_top_50_albums	556	9+ hours	PRIVATE	PLWptjpDqazOwXmARvM-jU6w9tw6PCwpED
117	z_2018_unrated_albums 150 Part 1	993	7+ hours	PRIVATE	PLWptjpDqazOw3OABRHwLhLsjB1vNUmRYP
118	z_2018_unrated_albums 150 Part 2	212	5+ hours	PRIVATE	PLWptjpDqazOxV-DJfKTrvZmbK_FBQkbps
119	z_2019_thumbs_up	523	6+ hours	PRIVATE	PLWptjpDqazOx4Du7ehdzqeASga8HCvMo2
120	z_2019_top_50_albums	717	6+ hours	PRIVATE	PLWptjpDqazOwbez3EwGvXZ_HSb0Y_L2uG
121	z_2019_unrated_albums	668	8+ hours	PRIVATE	PLWptjpDqazOyeM2e_C72lg8IXsUo59Ozm
122	z_dj_beats_chill	132	5+ hours	PRIVATE	PLWptjpDqazOyWuoFJ5lyqEIKzmusQmn-K
123	z_dj_beats_jazz	56	3 hours, 14 minutes	PRIVATE	PLWptjpDqazOwo17INdebj5r4WdTbQlxNN
124	z_dj_beats_phat	61	3 hours, 20 minutes	PRIVATE	PLWptjpDqazOwRMVVOSkC5D-OhpyCH0z3M
125	z_dj_beats_raw	114	5+ hours	PRIVATE	PLWptjpDqazOwil1BAKv9cTrPxbDV11bdr
126	z_dj_beats_soul	99	5 hours, 22 minutes	PRIVATE	PLWptjpDqazOzD4FQ-hiOoCjiwsyuoN3Xe
127	z_dj_beats_wonky	88	4 hours, 59 minutes	PRIVATE	PLWptjpDqazOw3pHz5ACG8N2Gi7oz6cyAw
128	z_dj_chill_electro_(downtempo)	167	6+ hours	PRIVATE	PLWptjpDqazOy2dPXWCYYj5Uj7zBZT2wjv
129	z_dj_chillwave	27	1 hour, 36 minutes	PRIVATE	PLWptjpDqazOyrCYR4_pdNo1XJQ91pMspd
130	z_dj_classic_pop_+_rock_+_blues	11	46 minutes	PRIVATE	PLWptjpDqazOyJ3imflrhMano0RmBanh8i
131	z_dj_dance_(mid_tempo)	315	7+ hours	PRIVATE	PLWptjpDqazOyLJfJkjS-wnj20Sr-GKhQ2
132	z_dj_deep_house	42	4 hours, 14 minutes	PRIVATE	PLWptjpDqazOyHaToj9V5-dd-IdEFQqoaY
133	z_dj_dub_reggae	18	1 hour, 12 minutes	PRIVATE	PLWptjpDqazOz-HsKKovhG4Aqt3JJ_vjvn
134	z_dj_dubstep	9	38 minutes	PRIVATE	PLWptjpDqazOzrLVYqXMe2qEkmRcN1eGVg
135	z_dj_edits	209	6+ hours	PRIVATE	PLWptjpDqazOxhjp0Dw86Abr4FufaXAeKk
136	z_dj_edm	27	1 hour, 52 minutes	PRIVATE	PLWptjpDqazOznhouYye0IMWnfsr6bvqF_
137	z_dj_electro	28	2 hours, 29 minutes	PRIVATE	PLWptjpDqazOzXF1qeQkLg_PXxPj5_LH62
138	z_dj_folk	3	10 minutes, 39 seconds	PRIVATE	PLWptjpDqazOyTDM8qVRevgpK-M_18ulkW
139	z_dj_funk_+_disco	78	6 hours, 25 minutes	PRIVATE	PLWptjpDqazOwb7vLT5Ntmsgp9smvJuHMK
140	z_dj_future_bass	139	6+ hours	PRIVATE	PLWptjpDqazOzgMryg7t7tJvZ7MZWu2dI4
141	z_dj_future_beats	185	6+ hours	PRIVATE	PLWptjpDqazOyigdD0uhJEUfEgCbUmMMX9
142	z_dj_futurebeat_rap	56	3 hours, 24 minutes	PRIVATE	PLWptjpDqazOyhCB_-lCFoK06nFoF_c2ey
143	z_dj_fx + drumz + vox	16	1 hour, 3 minutes	PRIVATE	PLWptjpDqazOw-BZXuVzPVZsDIZCSsrWVT
144	z_dj_gold	42	3 hours, 19 minutes	PRIVATE	PLWptjpDqazOzhHvVDPJ91txunSiexhVO7
145	z_dj_hip_hop	210	6+ hours	PRIVATE	PLWptjpDqazOyaDik0bYsfCGt2XXRNKBKW
146	z_dj_hiphop_oldschool	34	2 hours, 37 minutes	PRIVATE	PLWptjpDqazOwr7HePSIVwPmp08DQit8Hj
147	z_dj_history_2015y04m11d_02h18m16s	57	4 hours, 4 minutes	PRIVATE	PLWptjpDqazOyKoOFGzoMChImUbp_Hd57e
148	z_dj_house	90	7 hours, 45 minutes	PRIVATE	PLWptjpDqazOxyPT5Js73Rq6XaPdMJqag9
149	z_dj_house_big_bass	12	1 hour, 8 minutes	PRIVATE	PLWptjpDqazOzajYKZn3xg8H0uRfLeYjsa
150	z_dj_house_funk	28	2 hours, 1 minute	PRIVATE	PLWptjpDqazOzafsrknoXfRSODvqwEKStH
151	z_dj_indie_dance	129	7+ hours	PRIVATE	PLWptjpDqazOy3f9rovNExRppOk43GL7rB
152	z_dj_jazz	11	1 hour, 4 minutes	PRIVATE	PLWptjpDqazOzhC3vhYCd8fDJAugH4J9X2
153	z_dj_nu-disco	128	8+ hours	PRIVATE	PLWptjpDqazOxz_Jt3gWeBsTMS2Pfr5l7A
154	z_dj_nudisco_smooth	46	3 hours	PRIVATE	PLWptjpDqazOzmQVJZ2BbM_mlzCR_7LsOF
155	z_dj_remix	72	5 hours, 30 minutes	PRIVATE	PLWptjpDqazOzG07M2D5oPCt-SBjp6ihVo
156	z_dj_rnb	42	2 hours, 43 minutes	PRIVATE	PLWptjpDqazOz1L95Q338qxVcNCM6Dnjgj
157	z_dj_sample_this	2	7 minutes, 47 seconds	PRIVATE	PLWptjpDqazOyZRmCP8x-2oVuQouYM1l_U
158	z_dj_soft_pads	32	2 hours, 3 minutes	PRIVATE	PLWptjpDqazOxRUeiCi24RKQO2u5izTDta
159	z_dj_soul_+_motown	31	2 hours, 18 minutes	PRIVATE	PLWptjpDqazOx5PLG4lQHGc-pUaR2D11Bv
160	z_dj_thumbs_up	336	7+ hours	PRIVATE	PLWptjpDqazOwqMTsUps2PvNbVRUP3BJnU
161	z_dj_trance	27	3 hours, 19 minutes	PRIVATE	PLWptjpDqazOxP99etNXifD2F5OVyp6Xok
162	z_dj_trap	73	4 hours, 18 minutes	PRIVATE	PLWptjpDqazOx0gNrvaBk4O9jhc57-peVb
163	z_dj_trap_rap	41	2 hours, 31 minutes	PRIVATE	PLWptjpDqazOwwQoQogXsz6xq02OOomjXD
164	z_dj_troll - Video Games	4	10 minutes, 19 seconds	PRIVATE	PLWptjpDqazOzOtiDNNXyZybTZSe2x2PgA
165	z_dj_uk_garage	71	5 hours, 43 minutes	PRIVATE	PLWptjpDqazOxEoasdKAgWxY5mKKqh1P88
166	z_dj_witch_house	39	2 hours, 29 minutes	PRIVATE	PLWptjpDqazOw2eb6yfMo3GR1cthi6o_fV
167	z_dj_world	17	1 hour, 17 minutes	PRIVATE	PLWptjpDqazOw2hkYPd3xzu7vyHlXjZ0yF
168	z_ipod_albums Part 1	819	5+ hours	PRIVATE	PLWptjpDqazOxGqjvfogVE2VVgP7l59kcP
169	z_ipod_albums Part 2	877	6+ hours	PRIVATE	PLWptjpDqazOxCHIKawj2tZ0w0QB4QqCJg
170	z_ipod_albums Part 3	659	7+ hours	PRIVATE	PLWptjpDqazOxVwIVPpaztQ4Jj4OjCHQWI
171	z_ipod_albums Part 4	535	7+ hours	PRIVATE	PLWptjpDqazOw_fDTwDNNEW6_9JyO_PFXd
172	z_ipod_albums_uploaded	167	6+ hours	PRIVATE	PLWptjpDqazOxSDmSwlXlrmna0_tSLrQJB
173	z_jukebox_1950s	631	4+ hours	PRIVATE	PLWptjpDqazOy7_ALT-aBV4-3mCk0xoKfj
174	z_jukebox_1960s	695	4+ hours	PRIVATE	PLWptjpDqazOz9eWJ5dGbIdYq5-1APQXMs
175	z_lib_1950s_thumbs_up	29	2 hours, 1 minute	PRIVATE	PLWptjpDqazOy3EmqkpTWV7ymatLMMTEwk
176	z_lib_1960s_thumbs_up	582	5+ hours	PRIVATE	PLWptjpDqazOw-_TTnkjD1k4F3sjMyGaKn
177	z_lib_1970s_thumbs_up	744	8+ hours	PRIVATE	PLWptjpDqazOzhRLn5AbsTQqNOIa_FRdzG
178	z_lib_1980s_thumbs_up	373	6+ hours	PRIVATE	PLWptjpDqazOxKXU8IsGglu9Z9tjhWqyUE
179	z_lib_1990s_thumbs_up	884	7+ hours	PRIVATE	PLWptjpDqazOyWdB62sozgEqrVCSPZn_fY
180	z_lib_2000s_thumbs_up	693	7+ hours	PRIVATE	PLWptjpDqazOxQtUCYg4t4giVq9bHzhWcE
181	z_lib_2005s_thumbs_up	970	6+ hours	PRIVATE	PLWptjpDqazOw4qhQM-E7Q3gESj9vHxW3N
182	z_lib_2010_thumbs_up	536	6+ hours	PRIVATE	PLWptjpDqazOwY29wT4zjmIpALAFpw-A-q
183	z_lib_2011_thumbs_up	541	6+ hours	PRIVATE	PLWptjpDqazOz4a8mAPTDrRYn1s3B0EbeS
184	z_lib_2012_thumbs_up	508	6+ hours	PRIVATE	PLWptjpDqazOzv_dWdbha7p0g1TqIfYxd8
185	z_lib_2013_thumbs_up	669	7+ hours	PRIVATE	PLWptjpDqazOz6eId1ZAOju3n8Do_ZCkzF
186	z_lib_2014_thumbs_up	524	7+ hours	PRIVATE	PLWptjpDqazOzD2FIqp_2aH0zrHvQ_dhwt
187	z_lib_2015_thumbs_up	390	6+ hours	PRIVATE	PLWptjpDqazOzGDgVunuaK9S63c7JDxo-g
188	z_lib_2016_thumbs_up	388	6+ hours	PRIVATE	PLWptjpDqazOznZsVQlmtI4FORqLiLbXnl
189	z_lib_2017_thumbs_up	375	7+ hours	PRIVATE	PLWptjpDqazOxSxRNq9qlFOftz8tVBtbEg
190	z_lib_2018_thumbs_up	762	7+ hours	PRIVATE	PLWptjpDqazOwFGyGqAfP1Z9iDnBJKIbcx
191	z_lib_2019_thumbs_up	434	6+ hours	PRIVATE	PLWptjpDqazOwMm3SybUBViNShUEqi-fP-
192	z_musicbee-nonlib-nondj	189	7+ hours	PRIVATE	PLWptjpDqazOzYs4txdNF14q9Seu60-kde
193	z_nlib_1950s_thumbs_up	32	2 hours, 12 minutes	PRIVATE	PLWptjpDqazOzzwbhx7mTdBh3kstic2h3a
194	z_nlib_1960s_thumbs_up	356	6+ hours	PRIVATE	PLWptjpDqazOwO6KEAcFrWfcV2ODzysY23
195	z_nlib_1970s_thumbs_up	481	7+ hours	PRIVATE	PLWptjpDqazOwEVdMfkgfo3PpQspxtX6j0
196	z_nlib_1980s_thumbs_up	160	6+ hours	PRIVATE	PLWptjpDqazOxo2PudeQwn-i_7DiRWoLtL
197	z_nlib_1990s_thumbs_up	389	7+ hours	PRIVATE	PLWptjpDqazOxtJ0WiqBsGP_QrNPmVD-7e
198	z_nlib_2000s_thumbs_up	292	6+ hours	PRIVATE	PLWptjpDqazOwVPX_gADLO-1KYk-OgAmSj
199	z_nlib_2005s_thumbs_up	447	6+ hours	PRIVATE	PLWptjpDqazOznHQpERw4wDgrHXLRrtWYD
200	z_nlib_2010_thumbs_up	254	6+ hours	PRIVATE	PLWptjpDqazOytfUoPUeexY0crHTOMqNWS
201	z_nlib_2011_thumbs_up	266	6+ hours	PRIVATE	PLWptjpDqazOweIKFGkPnK7Cn4DVvTP4W1
202	z_nlib_2012_thumbs_up	293	7+ hours	PRIVATE	PLWptjpDqazOyOHyOT2P5WNEVriyl8arX_
203	z_nlib_2013_thumbs_up	383	7+ hours	PRIVATE	PLWptjpDqazOwQijFaa1R9qMQLwbovi4D3
204	z_nlib_2014_thumbs_up	268	6+ hours	PRIVATE	PLWptjpDqazOwXR_ghuY1ndt5HQbZCNRzK
205	z_nlib_2015_thumbs_up	245	6+ hours	PRIVATE	PLWptjpDqazOyZof14ZON07WmeNO1Ypoc0
206	z_nlib_2016_thumbs_up	317	6+ hours	PRIVATE	PLWptjpDqazOzP17AJYYl0KZvFELMEBVmP
207	z_nlib_2017_thumbs_up	281	6+ hours	PRIVATE	PLWptjpDqazOw2Xx1RbFh2NjHqNK8N7YN1
208	z_nlib_2018_thumbs_up	794	7+ hours	PRIVATE	PLWptjpDqazOxAuYmadIfv9BSp9zBDi4xw
209	z_nlib_2019_thumbs_up	493	7+ hours	PRIVATE	PLWptjpDqazOyERV5omAkTvclGF9kR9ZVZ
210	z_seed_albums_unmatched Part 1	942	6+ hours	PRIVATE	PLWptjpDqazOyZjNi30RDV3UmjnYklxG2N
211	z_seed_albums_unmatched Part 2	181	7+ hours	PRIVATE	PLWptjpDqazOxRRTJkFwETaALWWzMcFkkM
212	zzz_seed_music_albums Part 1	647	6+ hours	PRIVATE	PLWptjpDqazOxi-JwjTLNAR-_JoRqLMPiW
213	zzz_seed_music_albums Part 10	904	6+ hours	PRIVATE	PLWptjpDqazOxCSW8rqo3kTqrfVqyLQ5Lq
214	zzz_seed_music_albums Part 11	810	9+ hours	PRIVATE	PLWptjpDqazOwBqTqWmJD2XaO6SsRZn0Wo
215	zzz_seed_music_albums Part 12	344	6+ hours	PRIVATE	PLWptjpDqazOxucEO1dM_JN3xI0OsMpbP0
216	zzz_seed_music_albums Part 2	760	10+ hours	PRIVATE	PLWptjpDqazOzoAhOdU6OqL95mg1WLsMd8
217	zzz_seed_music_albums Part 3	751	7+ hours	PRIVATE	PLWptjpDqazOzC-9i99rA47_YZL9ML2fn6
218	zzz_seed_music_albums Part 4	902	8+ hours	PRIVATE	PLWptjpDqazOxc85XseTRt9sjBX5MARqkK
219	zzz_seed_music_albums Part 5	820	7+ hours	PRIVATE	PLWptjpDqazOxu9UeO4cwXJX0jV0eud8dO
220	zzz_seed_music_albums Part 6	903	7+ hours	PRIVATE	PLWptjpDqazOzlOe8It6mAGkia1ZaRtIYh
221	zzz_seed_music_albums Part 7	898	6+ hours	PRIVATE	PLWptjpDqazOxy3n0HO9hqyn-daFvzaNzm
222	zzz_seed_music_albums Part 8	803	5+ hours	PRIVATE	PLWptjpDqazOzQvGDUSSPAb9tA5FDZBPFI
223	zzz_seed_music_albums Part 9	948	7+ hours	PRIVATE	PLWptjpDqazOxMgc17Tk9HY5QRWwkzqvAe
